exp,target,seed,config,nmi,ari,seconds
tune,0.05_0.8,2,lr:0.001|do:0.0|h:64,0.2386,0.2568,3.01
depth,0.05_0.8,2,d3,0.2121,0.1797,5.8
mcdepth,0.05_0.8,2,mc_d2,0.0,0.0,6.76
tune,0.05_0.8,2,lr:0.001|do:0.0|h:128,0.2844,0.2593,3.91
tune,0.05_0.8,2,lr:0.01|do:0.0|h:64,0.1645,0.1487,3.24
tune,0.05_0.8,2,lr:0.001|do:0.5|h:128,0.255,0.2418,3.77
mcdepth,0.05_0.8,2,mc_d3,0.0355,0.0141,9.54
tune,0.05_0.8,2,lr:0.01|do:0.0|h:128,0.1972,0.1886,3.88
tune,0.05_0.8,2,lr:0.01|do:0.5|h:64,0.2144,0.2268,3.18
tune,0.05_0.8,2,lr:0.01|do:0.5|h:128,0.2271,0.2441,3.89
depth,0.05_0.8,3,d2,0.2185,0.1715,4.22
tune,0.05_0.8,3,lr:0.001|do:0.0|h:64,0.2914,0.2972,3.26
depth,0.05_0.8,3,d3,0.3172,0.2651,5.93
mcdepth,0.05_0.8,3,mc_d2,0.002,-0.0,7.03
tune,0.05_0.8,3,lr:0.001|do:0.0|h:128,0.2948,0.324,3.76
tune,0.05_0.8,3,lr:0.01|do:0.0|h:64,0.1942,0.1945,3.23
tune,0.05_0.8,3,lr:0.001|do:0.5|h:128,0.2906,0.296,3.92
mcdepth,0.05_0.8,3,mc_d3,0.0221,0.0013,9.58
tune,0.05_0.8,3,lr:0.01|do:0.5|h:64,0.189,0.182,3.0
tune,0.05_0.8,3,lr:0.01|do:0.0|h:128,0.2283,0.2449,3.91
tune,0.05_0.8,3,lr:0.01|do:0.5|h:128,0.2657,0.2899,3.95
depth,0.05_0.8,4,d2,0.2774,0.221,4.75
depth,0.05_0.8,4,d3,0.2277,0.2125,5.76
tune,0.05_0.8,4,lr:0.001|do:0.0|h:64,0.2834,0.2379,3.3
mcdepth,0.05_0.8,4,mc_d2,0.0,0.0,7.12
tune,0.05_0.8,4,lr:0.001|do:0.0|h:128,0.3683,0.2944,3.89
tune,0.05_0.8,4,lr:0.001|do:0.5|h:128,0.324,0.2901,3.7
tune,0.05_0.8,4,lr:0.01|do:0.0|h:64,0.221,0.1978,3.2
mcdepth,0.05_0.8,4,mc_d3,0.0,0.0,9.77
