arm,structure,feature,seed,method,nmi,ari,sep_min,sep_mean,seconds
B,0.65,0.0,4,leiden,1.0,1.0,0.0,0.0,0.05
B,0.65,0.0,4,kmeans,0.0026,-0.0006,0.0,0.0,0.03
B,0.65,0.0,4,dmon,0.0124,0.0085,0.0,0.0,2.24
B,0.65,0.0,4,mincut,0.0,0.0,0.0,0.0,2.57
B,0.65,0.0,4,dmon_ref,0.0436,0.034,0.0,0.0,2.46
B,0.65,0.0,5,louvain,0.9869,0.992,0.0,0.0,0.09
B,0.65,0.0,5,leiden,0.9859,0.992,0.0,0.0,0.05
B,0.65,0.0,5,kmeans,0.0033,-0.0002,0.0,0.0,0.03
B,0.65,0.0,5,dmon,0.0095,0.0056,0.0,0.0,2.23
B,0.65,0.0,5,mincut,0.0,0.0,0.0,0.0,2.52
B,0.65,0.0,5,dmon_ref,0.0802,0.0693,0.0,0.0,2.5
B,0.65,0.0,6,louvain,0.9859,0.992,0.0,0.0,0.08
B,0.65,0.0,6,leiden,0.9859,0.992,0.0,0.0,0.05
B,0.65,0.0,6,kmeans,0.0017,-0.0014,0.0,0.0,0.04
B,0.65,0.0,6,dmon,0.017,0.0135,0.0,0.0,2.26
B,0.65,0.0,6,mincut,0.0,0.0,0.0,0.0,2.75
B,0.65,0.0,6,dmon_ref,0.0452,0.0383,0.0,0.0,2.69
B,0.65,0.0,7,louvain,0.9822,0.9894,0.0,0.0,0.08
B,0.65,0.0,7,leiden,0.9906,0.9947,0.0,0.0,0.05
B,0.65,0.0,7,kmeans,0.0032,-0.0001,0.0,0.0,0.03
B,0.65,0.0,7,dmon,0.0071,0.0035,0.0,0.0,2.45
B,0.65,0.0,7,mincut,0.0,0.0,0.0,0.0,2.6
B,0.65,0.0,7,dmon_ref,0.0717,0.0646,0.0,0.0,2.5
B,0.65,0.0,8,louvain,0.9906,0.9947,0.0,0.0,0.09
B,0.65,0.0,8,leiden,0.9906,0.9947,0.0,0.0,0.05
B,0.65,0.0,8,kmeans,0.0082,0.0044,0.0,0.0,0.03
B,0.65,0.0,8,dmon,0.0117,0.0077,0.0,0.0,2.22
B,0.65,0.0,8,mincut,0.0,0.0,0.0,0.0,2.55
B,0.65,0.0,8,dmon_ref,0.1406,0.13,0.0,0.0,2.37
B,0.65,0.0,9,louvain,0.9859,0.992,0.0,0.0,0.13
B,0.65,0.0,9,leiden,0.9812,0.9893,0.0,0.0,0.04
B,0.65,0.0,9,kmeans,0.0059,0.0024,0.0,0.0,0.03
B,0.65,0.0,9,dmon,0.0129,0.0089,0.0,0.0,2.25
B,0.65,0.0,9,mincut,0.002,0.0,0.0,0.0,2.5
B,0.65,0.0,9,dmon_ref,0.067,0.0628,0.0,0.0,2.48
B,0.65,0.0,10,louvain,0.9906,0.9947,0.0,0.0,0.07
B,0.65,0.0,10,leiden,0.9906,0.9947,0.0,0.0,0.05
B,0.65,0.0,10,kmeans,0.0018,-0.0013,0.0,0.0,0.03
B,0.65,0.0,10,dmon,0.0108,0.0071,0.0,0.0,2.18
B,0.65,0.0,10,mincut,0.0844,0.0832,0.0,0.0,2.52
B,0.65,0.0,10,dmon_ref,0.0567,0.0522,0.0,0.0,2.38
B,0.65,0.0,11,louvain,0.9953,0.9973,0.0,0.0,0.07
B,0.65,0.0,11,leiden,0.9953,0.9973,0.0,0.0,0.05
B,0.65,0.0,11,kmeans,0.0012,-0.0018,0.0,0.0,0.03
B,0.65,0.0,11,dmon,0.0061,0.0026,0.0,0.0,2.2
B,0.65,0.0,11,mincut,0.0,0.0,0.0,0.0,2.49
B,0.65,0.0,11,dmon_ref,0.0667,0.061,0.0,0.0,2.47
B,0.65,0.0,12,louvain,0.9953,0.9973,0.0,0.0,0.08
B,0.65,0.0,12,leiden,0.9953,0.9973,0.0,0.0,0.05
B,0.65,0.0,12,kmeans,0.0033,0.0,0.0,0.0,0.03
B,0.65,0.0,12,dmon,0.0138,0.0102,0.0,0.0,2.18
B,0.65,0.0,12,mincut,0.0,0.0,0.0,0.0,2.51
B,0.65,0.0,12,dmon_ref,0.073,0.0684,0.0,0.0,2.37
B,0.65,0.0,13,louvain,0.9906,0.9947,0.0,0.0,0.06
B,0.65,0.0,13,leiden,0.9906,0.9947,0.0,0.0,0.05
B,0.65,0.0,13,kmeans,0.0019,-0.0011,0.0,0.0,0.03
B,0.65,0.0,13,dmon,0.0107,0.0068,0.0,0.0,2.17
B,0.65,0.0,13,mincut,0.002,0.0,0.0,0.0,2.5
B,0.65,0.0,13,dmon_ref,0.0805,0.0632,0.0,0.0,2.37
B,0.65,0.0,14,louvain,0.9906,0.9947,0.0,0.0,0.08
B,0.65,0.0,14,leiden,0.9953,0.9973,0.0,0.0,0.04
B,0.65,0.0,14,kmeans,0.0028,-0.0004,0.0,0.0,0.03
B,0.65,0.0,14,dmon,0.0156,0.0117,0.0,0.0,2.18
B,0.65,0.0,14,mincut,0.0,0.0,0.0,0.0,2.5
B,0.65,0.0,14,dmon_ref,0.0619,0.0559,0.0,0.0,2.4
B,0.65,0.0,15,louvain,0.9775,0.9867,0.0,0.0,0.1
B,0.65,0.0,15,leiden,0.9775,0.9867,0.0,0.0,0.05
B,0.65,0.0,15,kmeans,0.0027,-0.0005,0.0,0.0,0.03
B,0.65,0.0,15,dmon,0.0106,0.0068,0.0,0.0,2.16
B,0.65,0.0,15,mincut,0.0,0.0,0.0,0.0,2.52
B,0.65,0.0,15,dmon_ref,0.082,0.0794,0.0,0.0,2.33
B,0.65,0.0,16,louvain,0.9775,0.9867,0.0,0.0,0.08
B,0.65,0.0,16,leiden,0.9906,0.9947,0.0,0.0,0.05
B,0.65,0.0,16,kmeans,0.0032,-0.0,0.0,0.0,0.03
B,0.65,0.0,16,dmon,0.0057,0.0022,0.0,0.0,2.17
B,0.65,0.0,16,mincut,0.0,0.0,0.0,0.0,2.48
B,0.65,0.0,16,dmon_ref,0.0515,0.0451,0.0,0.0,2.42
B,0.65,0.0,17,louvain,0.9953,0.9973,0.0,0.0,0.07
B,0.65,0.0,17,leiden,0.9953,0.9973,0.0,0.0,0.04
