structure,feature,seed,method,nmi,ari,seconds
0.35,0.35,0,kmeans,0.4238,0.4588,0.02
0.35,0.35,0,dmon,0.4347,0.433,2.35
0.35,0.35,0,mincut,0.0,0.0,2.82
0.35,0.35,1,louvain,0.1454,0.1289,0.16
0.35,0.35,1,leiden,0.1025,0.0857,0.07
0.35,0.35,1,kmeans,0.4793,0.5221,0.03
0.35,0.35,1,dmon,0.7236,0.7746,2.35
0.35,0.35,1,mincut,0.0014,-0.0,2.8
0.35,0.35,2,louvain,0.1171,0.101,0.15
0.35,0.35,2,leiden,0.0902,0.0625,0.07
0.35,0.35,2,kmeans,0.417,0.4539,0.03
0.35,0.35,2,dmon,0.2474,0.2247,2.35
0.35,0.35,2,mincut,0.0,0.0,2.77
0.35,0.35,3,louvain,0.113,0.0701,0.16
0.35,0.35,3,leiden,0.298,0.2903,0.07
0.35,0.35,3,kmeans,0.5697,0.6244,0.02
0.35,0.35,3,dmon,0.644,0.6761,2.35
0.35,0.35,3,mincut,0.0103,0.0089,2.79
0.35,0.35,4,louvain,0.2752,0.2872,0.18
0.35,0.35,4,leiden,0.0776,0.0585,0.07
0.35,0.35,4,kmeans,0.5033,0.5515,0.02
0.35,0.35,4,dmon,0.7171,0.7692,2.33
0.35,0.35,4,mincut,0.0,0.0,2.78
0.35,0.5,0,louvain,0.1995,0.2011,0.18
0.35,0.5,0,leiden,0.1609,0.1465,0.08
0.35,0.5,0,kmeans,0.7088,0.7585,0.02
0.35,0.5,0,dmon,0.7975,0.8358,2.43
0.35,0.5,0,mincut,0.0,0.0,2.9
0.35,0.5,1,louvain,0.1454,0.1289,0.16
0.35,0.5,1,leiden,0.1025,0.0857,0.07
0.35,0.5,1,kmeans,0.7624,0.8114,0.01
0.35,0.5,1,dmon,0.9207,0.9474,2.36
0.35,0.5,1,mincut,0.002,-0.0,2.81
0.35,0.5,2,louvain,0.1171,0.101,0.15
0.35,0.5,2,leiden,0.0902,0.0625,0.07
0.35,0.5,2,kmeans,0.6986,0.7449,0.01
0.35,0.5,2,dmon,0.8452,0.8888,2.35
0.35,0.5,2,mincut,0.0044,0.0,2.78
0.35,0.5,3,louvain,0.113,0.0701,0.16
0.35,0.5,3,leiden,0.298,0.2903,0.07
0.35,0.5,3,kmeans,0.8401,0.8861,0.01
0.35,0.5,3,dmon,0.9273,0.9527,2.38
0.35,0.5,3,mincut,0.0048,0.0002,2.82
0.35,0.5,4,louvain,0.2752,0.2872,0.18
0.35,0.5,4,leiden,0.0776,0.0585,0.07
0.35,0.5,4,kmeans,0.7821,0.8307,0.01
0.35,0.5,4,dmon,0.9066,0.9347,2.46
0.35,0.5,4,mincut,0.0,0.0,2.8
0.35,0.65,0,louvain,0.1995,0.2011,0.18
0.35,0.65,0,leiden,0.1609,0.1465,0.08
